quebec_column,provenance,spatial_dependency,tier,status,energuide_field,pct_populated,note
Ceiling Fan,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Dehumidifier,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Insulation Roof,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Insulation Slab,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A,direct,SLABINSUL,56.1,slab RSI
Interior Shading,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Radiant Barrier,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Roof Material,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Tconsignes_chauffage_H1,Tech-Hardcoded (Code-generated),Location Independent,-,derived,,,code-generated schedule column
Tconsignes_chauffage_H2,Tech-Hardcoded (Code-generated),Location Independent,-,derived,,,code-generated schedule column
Tconsignes_chauffage_H3,Tech-Hardcoded (Code-generated),Location Independent,-,derived,,,code-generated schedule column
Tconsignes_chauffage_H4,Tech-Hardcoded (Code-generated),Location Independent,-,derived,,,code-generated schedule column
Territoire_HQ,Survey-Derived (EUEMR),Location Dependent,done,set-calgary,,,collapsed to Calgary
Region_Administrative,Survey-Derived (EUEMR),Location Dependent,done,set-calgary,,,collapsed to Alberta
Type_Logement,Survey-Derived (EUEMR),Location Independent,A,direct,TYPEOFHOUSE,100.0,dwelling typology; EnerGuideToBN.TYPE_LOGEMENT
ChaufEau_Presence,Survey-Derived (EUEMR),Location Independent,A,direct,PDHWFUEL,100.0,DHW presence
ChaufEau_Type,Survey-Derived (EUEMR),Location Independent,A,direct,PRIMARYDHWTANKVOLUME,56.5,tank capacity class
Presence_Garage,Survey-Derived (EUEMR),Location Independent,B/C,keep-qc,,,no EnerGuide field; city assessment or keep QC
Nombre_Etages,Survey-Derived (EUEMR),Location Independent,A,direct,STOREYS,100.0,raked to census type margins
Presence_SousSol,Survey-Derived (EUEMR),Location Independent,A,direct,FNDTYPE,82.8,basement/crawlspace from foundation code
Nombre_Pieces,Survey-Derived (EUEMR),Location Independent,B,keep-qc,,,no census cross at needed grain; rescale QC CPT
Nombre_Personnes,Survey-Derived (EUEMR),Location Independent,A,direct,TOTALOCCUPANTS,100.0,household size (also census-checkable)
Refrigerateur_Nombre,Survey-Derived (EUEMR),Location Independent,B,keep-qc,,,SHEU appliance stock
Cuisiniere_Presence,Survey-Derived (EUEMR),Location Independent,B,keep-qc,,,SHEU/CEUD range stock
LaveLinge_Type,Survey-Derived (EUEMR),Location Independent,B/D,keep-qc,,,near-universal; rescale SHEU
SecheLinge_Presence,Survey-Derived (EUEMR),Location Independent,B/D,keep-qc,,,near-universal; rescale SHEU
Congelateur_Nombre,Survey-Derived (EUEMR),Location Independent,B,keep-qc,,,SHEU appliance stock (AB freezer share higher)
LaveVaisselle_Presence,Survey-Derived (EUEMR),Location Independent,B/D,keep-qc,,,near-universal; rescale SHEU
Superficie_Totale,Survey-Derived (EUEMR),Location Independent,A,direct,HEATEDFLOORAREA,66.4,binned to existing area states
Spa_Presence,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,no AB microdata; permit counts or keep QC +-MC
Spa_Logement,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Spa_Saison,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Spa_Utilisation_SaisonChaude,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Spa_Utilisation_SaisonFroide,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Piscine_Presence,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,AB pool prevalence << QC; permit anchor or keep QC
Piscine_Type,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Piscine_Chauffee,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Piscine_ChaufType,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Piscine_Toile,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Piscine_Minuterie,Survey-Derived (EUEMR),Location Independent,C,keep-qc,,,keep QC conditional
Vehicule_Presence,Survey-Derived (EUEMR),Location Independent,B,imputed,,,StatCan ZEV registrations; EnerGuide EVCharger biased
Vehicule_BornePresence,Survey-Derived (EUEMR),Location Independent,B,keep-qc,,,charger conditional kept from QC
Mode_Occupation,Survey-Derived (EUEMR),Location Independent,A,imputed,,,no tenure field; imputed from census P(tenure|type)
Eclairage_LED,Survey-Derived (EUEMR),Location Independent,B/C,keep-qc,,,HES lighting tables or keep QC
Type_Batiment,Survey-Derived (EUEMR),Location Independent,-,derived,,,deterministic child of Type_Logement
An_Construction,Survey-Derived (EUEMR),Location Independent,A,direct,YEARBUILT,100.0,binned to 9 BN vintages
Infiltration,Mixed (Survey + program logic),Location Independent,A,direct,AIR50P,100.0,measured blower-door ACH50 - best AB data
An_ConstructionCode,Survey-Derived (EUEMR),Location Independent,A,direct,YEARBUILT,100.0,code-era bins from YEARBUILT
Source_Energie_Chauf,Survey-Derived (EUEMR),Location Dependent,A,direct,FURNACEFUEL,100.0,primary heating fuel; Bi-energie->0
Cuisiniere_Energie,Survey-Derived (EUEMR),Location Independent,B,keep-qc,,,"gas-range share (AB >> QC), SHEU/CEUD"
Chauffage_Logement,Survey-Derived (EUEMR),Location Independent,A,direct,FURNACETYPE,100.0,heating system; blend with HPEquipType
Climatisation,Survey-Derived (EUEMR),Location Dependent,A/B,direct,AIRCONDTYPE,84.4,AC type; blend with HES saturation
ChaufEau_ChaufType,Survey-Derived (EUEMR),Location Independent,A,direct,PDHWFUEL,100.0,DHW fuel
