id,Nom,Description,Valeurs,Dépendance (parents),Dépendance (enfants),Échantillonneur,Source
10.0,Climatisation,"Parmi les appareils suivants, lesquels utilisez-vous pour climatiser votre habitation? (Ensemble des mentions)","['Aucune', 'Fenêtre, mobile, portable', 'Murale', 'Centrale']","['Type_Logement', 'Chauffage_Logement']",[],Réseau Bayesien,EUEMR modifié
11.0,Source_Energie_Chauf,Principale source d'énergie utilisée pour le chauffage de l'habitation,"['Electricite', 'Mazout', 'Gaz naturel', 'Bi-energie', 'Bois']","['Type_Logement', 'An_Construction']","['Chauffage_Logement', 'HVAC Heating Efficiency']",Réseau Bayesien,EUEMR modifié
12.0,Chauffage_Logement,Système principal de chauffage,"['Plinthes électriques', 'Unités convecteurs, plancher ou plafond radiant', 'Thermopompe', 'Système central à air chaud', 'Système central à eau chaude', 'Fournaise ou poêle à bois', 'Fournaise murale ou de plancher', 'Fournaise ou poêle à bois et Plinthes électriques', 'Fournaise ou poêle à bois et Unités convecteurs, plancher ou plafond radiant', 'Fournaise ou poêle à bois et Thermopompe', 'Fournaise ou poêle à bois et Système central à air chaud', 'Fournaise ou poêle à bois et Système central à eau chaude', 'Fournaise ou poêle à bois et Fournaise murale ou de plancher']","['Type_Logement', 'Source_Energie_Chauf']","['Climatisation', 'HVAC Heating Efficiency']",Réseau Bayesien,EUEMR modifié
13.0,Spa_Presence,Avez-vous un spa à votre résidence?,"['Oui', 'Non']","['Territoire_HQ', 'Type_Logement']","['Spa_Logement', 'Spa_Saison']",Réseau Bayesien,EUEMR modifié
14.0,Spa_Logement,Le spa est-il à l'intérieur ou à l'extérieur de la résidence?,"['Aucun', 'Exterieur', 'Interieur']","['Type_Logement', 'Spa_Presence']",['Spa_Saison'],Réseau Bayesien,EUEMR modifié
15.0,Spa_Saison,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver, pas utilisé)","['Aucun', 'Pas utilisé', 'Ne sait pas', 'Toute_Saison', 'Printemps', 'Ete', 'Automne', 'Hiver', 'Printemps_Ete', 'Printemps_Automne', 'Printemps_Hiver', 'Ete_Automne', 'Ete_Hiver', 'Automne_Hiver', 'Printemps_Ete_Automne', 'Printemps_Automne_Hiver', 'Ete_Automne_Hiver']","['Spa_Presence', 'Spa_Logement']","['Spa_Utilisation_SaisonChaude', 'Spa_Utilisation_SaisonFroide']",Réseau Bayesien,EUEMR modifié
16.0,Spa_Utilisation_SaisonChaude,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois chauds de la dernière année?,"['Aucun', 'Ne sais pas', 'Constant', 'Augmentation']",['Spa_Saison'],[],Réseau Bayesien,EUEMR modifié
17.0,Spa_Utilisation_SaisonFroide,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois froids de la dernière année?,"['Aucun', 'Ne sais pas', 'Constant', 'Augmentation']",['Spa_Saison'],[],Réseau Bayesien,EUEMR modifié
18.0,Piscine_Presence,"Avez-vous une piscine installée en permanence, qu'elle soit creusée ou hors-terre?","['Oui', 'Non']","['Territoire_HQ', 'Type_Logement']",['Piscine_Type'],Réseau Bayesien,EUEMR modifié
19.0,Piscine_Type,De quel type de piscine s'agit-il?,"['Aucun', 'Hors_Terre', 'Creusee_Exterieur', 'Creusee_Interieur']","['Type_Logement', 'Piscine_Presence']","['Piscine_Minuterie', 'Piscine_Toile', 'Piscine_Chauffee']",Réseau Bayesien,EUEMR modifié
20.0,Piscine_Minuterie,Votre filtreur est-il équipé d'une minuterie?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],[],Réseau Bayesien,EUEMR modifié
21.0,Piscine_Toile,Possédez-vous une toile solaire?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],[],Réseau Bayesien,EUEMR modifié
22.0,Piscine_Chauffee,Votre piscine est-elle chauffée (autrement que par une toile solaire)?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],['Piscine_ChaufType'],Réseau Bayesien,EUEMR modifié
23.0,Piscine_ChaufType,De quelle façon est-elle chauffée? (Ensemble des mentions),"['Aucun', 'Ne sait pas', 'Thermopompe', 'Electrique', 'Capteur Solaire', 'Propane', 'Gaz Naturel', 'Bois', 'Mazout']",['Piscine_Chauffee'],[],Réseau Bayesien,EUEMR modifié
24.0,Vehicule_Presence,Voiture(s) électrique? (Base totale),"['Aucune_VE_Aucune_VHR', 'Une_VE_Aucune_VHR', 'Aucune_VE_Une_VHR', 'Deux_VE_Aucune_VHR', 'Une_VE_Une_VHR', 'Deux_VE_Une_VHR', 'Trois_VE_Aucune_VHR', 'Deux_VE_Deux_VHR', 'Aucune_VE_Deux_VHR']","['Territoire_HQ', 'Type_Logement']",['Vehicule_BornePresence'],Réseau Bayesien,EUEMR modifié
25.0,Vehicule_BornePresence,Disposez-vous d'une borne de recharge reliée à votre compteur d'électricité?,"['Aucun', 'Oui', 'Non']","['Vehicule_Presence', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
,Geometry Stories,Geometry Stories,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '20', '21', '35']","['Type_Logement', 'Nombre_Etages']","['Geometry Building Horizontal Location', 'Geometry Building Level']",BuildstockBatchArguments,
,Geometry Building Number Units,Nombre d'unité d'habitation,"['4', '14', '12', '18', '24', '6', '7', '8', '50', '28', '60', '20', '15', '17', '13', '100', '30', '49', '32', '16', '5', '27', '75', '10', '35', '19', '25', '44', '130', '42', '120', '36', '22', '9', '64', '26', '80', '46', '38', '48', '52', '92', '58', '40', '70', '200', '90', '325', '23', '11', '56', '187', '66', '86', '180', '45', '150', '110', '29', '160', '43', '350', '140', '96', '53', '72', '65', '215', '108', '39', '85', '135', '103', '250', '76', '123', '82', '132', '34', '21', '84', '54', '71', '77', '91', '55', '181', '202', '121', '47', '240', '144', '99', '199', '79', '68', '62', '88', '152', '170', '117', '300', '128', '33', '193', '83', '63', '260', '268', '149', '194', '51', '73', '321', '125', '69', '220', '141', '137', '101', '1', '2', '3']",['Type_Logement'],['Geometry Building Horizontal Location'],BuildstockBatchArguments,
,Geometry Building Horizontal Location,Position horizontale de l'habitation,"['Left', 'Middle', 'None', 'Not Applicable', 'Right']","['Geometry Building Number Units', 'Geometry Stories']",[],BuildstockBatchArguments,
,Geometry Building Level,Position verticale de l'habitation,"['Bottom', 'Middle', 'None', 'Top']","['Type_Logement', 'Geometry Stories']",[],BuildstockBatchArguments,
,Infiltration,Taux d'infiltration d'air,"['1 ACH50', '2 ACH50', '3 ACH50', '4 ACH50', '5 ACH50', '6 ACH50', '7 ACH50', '8 ACH50', '10 ACH50', '15 ACH50', '20 ACH50', '25 ACH50', '30 ACH50', '40 ACH50', '50 ACH50']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Windows,Type de fenêtre,"['Double, Clear, Metal, Air', 'Double, Clear, Non-metal, Air', 'Double, Clear, Thermal-Break, Air', 'Double, Low-E, L-Gain', 'Double, Low-E, Non-metal, Air, L-Gain', 'Double, Low-E, Non-metal, Air, M-Gain', 'Single, Clear, Metal', 'Single, Clear, Non-metal', 'Triple, Low-E, Non-metal, Air, L-Gain']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Insulation Wall,Type d'isolation des murs,"['QC_WoodStud-R14.5', 'QC_WoodStud-R14', 'QC_WoodStud-R17.2', 'QC_WoodStud-R20.7', 'QC_WoodStud-R24.5', 'QC_WoodStud-R12.2', 'QC_WoodStud-R12.6', 'QC_WoodStud-R18.9']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Insulation Ceiling,Type d'isolation du plafond,"['QC_R19.6', 'QC_R24.6', 'QC_R27.3', 'QC_R30.9', 'QC_R41', 'QC_R12.5', 'QC_R18.3', 'QC_R29.8']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Insulation Foundation Wall,Type d'isolation du mur de fondation,"['QC_Wall-R10.1, interior', 'QC_Wall-R12, interior', 'QC_Wall-R14.4, interior', 'QC_Wall-R17.1, interior', 'QC_Wall-R17, interior']",['An_Construction'],[],BuildstockBatchArguments,
,Geometry Wall Exterior Finish,Type de revêtement extérieur des murs,['None'],[],[],BuildstockBatchArguments,
,geometry attic type,Type de grenier,['Vented Attic'],[],[],BuildstockBatchArguments,
,HVAC Has Shared System,Système de chauffage partagé,['None'],[],[],BuildstockBatchArguments,
,HVAC Heating Efficiency,Efficacité du système de chauffage,"['Electric Baseboard, 100% Efficiency', 'Electric Furnace, 100% AFUE', 'Electric Boiler, 100% AFUE', 'ASHP, SEER 15, 8.5 HSPF', 'Electric Wall Furnace, 100% AFUE', 'Fuel Furnace, 80% AFUE', 'Fuel Boiler, 80% AFUE', 'Fuel Wall/Floor Furnace, 68% AFUE', 'Fuel Boiler, 72% AFUE', 'Fuel Wall/Floor Furnace, 60% AFUE', 'Fuel Boiler, 72% AFUE & Electric Baseboard, 100% Efficiency', 'Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE', 'Fuel Boiler, 72% AFUE & ASHP, SEER 15, 8.5 HSPF', 'Fuel Boiler, 72% AFUE & Electric Furnace, 100% AFUE', 'Fuel Boiler, 72% AFUE & Electric Boiler, 100% AFUE', 'Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE.1', 'Fuel Boiler, 72% AFUE & Fuel Furnace, 80% AFUE', 'Fuel Boiler, 72% AFUE & Fuel Boiler, 80% AFUE', 'Fuel Furnace, 80% AFUE & ASHP, SEER 15, 8.5 HSPF', 'Electric Furnace, 100% AFUE & Fuel Furnace, 80% AFUE', 'Electric Boiler, 100% AFUE & Fuel Boiler, 80% AFUE']","['Source_Energie_Chauf', 'Chauffage_Logement']",[],BuildstockBatchArguments,
